[INFO] [1790326500.534983534] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790327138.458229539] [route_follower]: track: 899/972 m, 72 m left, cte +0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790327143.461560008] [route_follower]: track: 902/972 m, 69 m left, cte -0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790327148.459732402] [route_follower]: track: 905/972 m, 67 m left, cte -0.02 m, v 0.54 m/s, grade +6.9%
[INFO] [1790327153.459408525] [route_follower]: track: 907/972 m, 64 m left, cte -0.02 m, v 0.54 m/s, grade +6.9%
[INFO] [1790327158.466083321] [route_follower]: track: 910/972 m, 61 m left, cte -0.08 m, v 0.54 m/s, grade +6.6%
[INFO] [1790327163.465414760] [route_follower]: track: 913/972 m, 59 m left, cte -0.01 m, v 0.54 m/s, grade +6.6%
[INFO] [1790327168.468198699] [route_follower]: track: 916/972 m, 56 m left, cte -0.24 m, v 0.54 m/s, grade +5.5%
[INFO] [1790327173.468937046] [route_follower]: track: 918/972 m, 53 m left, cte -0.09 m, v 0.54 m/s, grade +5.5%
[INFO] [1790327178.469820344] [route_follower]: track: 921/972 m, 51 m left, cte -0.07 m, v 0.54 m/s, grade +4.9%
[INFO] [1790327183.470433898] [route_follower]: track: 924/972 m, 48 m left, cte -0.01 m, v 0.54 m/s, grade +4.9%
[INFO] [1790327188.470484240] [route_follower]: track: 926/972 m, 45 m left, cte -0.01 m, v 0.54 m/s, grade +4.7%
[INFO] [1790327193.472986421] [route_follower]: track: 929/972 m, 42 m left, cte +0.00 m, v 0.54 m/s, grade +3.7%
[INFO] [1790327198.471196095] [route_follower]: track: 932/972 m, 40 m left, cte -0.02 m, v 0.54 m/s, grade +3.7%
[INFO] [1790327203.469209903] [route_follower]: track: 934/972 m, 37 m left, cte +0.01 m, v 0.54 m/s, grade +3.0%
[INFO] [1790327208.470165486] [route_follower]: track: 937/972 m, 34 m left, cte +0.01 m, v 0.54 m/s, grade +3.0%
[INFO] [1790327213.474346003] [route_follower]: track: 940/972 m, 32 m left, cte +0.00 m, v 0.54 m/s, grade +2.6%
[INFO] [1790327218.470359524] [route_follower]: track: 943/972 m, 29 m left, cte -0.00 m, v 0.54 m/s, grade +2.6%
[INFO] [1790327223.470453217] [route_follower]: track: 945/972 m, 26 m left, cte -0.01 m, v 0.54 m/s, grade +2.5%
[INFO] [1790327228.471232541] [route_follower]: track: 948/972 m, 24 m left, cte -0.03 m, v 0.54 m/s, grade +2.5%
[INFO] [1790327233.470305638] [route_follower]: track: 951/972 m, 21 m left, cte +0.01 m, v 0.54 m/s, grade +2.1%
[INFO] [1790327238.470360678] [route_follower]: track: 953/972 m, 18 m left, cte +0.05 m, v 0.54 m/s, grade +2.1%
[INFO] [1790327243.470222468] [route_follower]: track: 956/972 m, 15 m left, cte -0.07 m, v 0.54 m/s, grade +2.0%
[INFO] [1790327248.469898732] [route_follower]: track: 959/972 m, 13 m left, cte -0.00 m, v 0.54 m/s, grade +1.7%
[INFO] [1790327253.469495597] [route_follower]: track: 961/972 m, 10 m left, cte +0.07 m, v 0.54 m/s, grade +1.7%
[INFO] [1790327258.468994348] [route_follower]: track: 964/972 m, 7 m left, cte -0.01 m, v 0.54 m/s, grade +1.3%
[INFO] [1790327263.472387624] [route_follower]: track: 967/972 m, 5 m left, cte +0.01 m, v 0.54 m/s, grade +0.9%
[INFO] [1790327268.470028646] [route_follower]: track: 970/972 m, 2 m left, cte -0.01 m, v 0.54 m/s, grade +0.9%
[INFO] [1790327270.170514252] [route_follower]: ARRIVED at turbine_07 after 769 s sim time; true distance to goal 10.80 m; log /home/shyam/Rover2Drone/logs/route_turbine_07_rtk_s3_20260925_142500.csv
